classification,Coin,Closed PnL
Fear,ALT,1040.606145
Fear,ANIME,47.24989
Fear,APE,195.568863
Fear,APT,1496.438346
Fear,ARB,8768.017658
Fear,ARK,27.146758000000002
Fear,AVAX,186.450938
Fear,BABY,98.7298
Fear,BERA,-27.646403999999986
Fear,BLUR,31.847859999999997
Fear,BNB,-737.08169
Fear,BTC,482649.644056
Fear,CHILLGUY,27.087155
Fear,COMP,1334.414834
Fear,CRV,-50.098479
Fear,DOGE,7907.371107
Fear,DYDX,50.085345000000004
Fear,EIGEN,13303.436002999999
Fear,ENA,160316.233716
Fear,ETH,675064.576785
Fear,ETHFI,10801.336599
Fear,FARTCOIN,-10811.779569
Fear,FET,17.0533
Fear,FTT,1253.444307
Fear,GALA,18.788724
Fear,GMT,119.500423
Fear,GRASS,28.953272
Fear,GRIFFAIN,1910.409221
Fear,HYPE,840306.353176
Fear,IO,0.0
Fear,IP,1774.5243839999998
Fear,JELLY,12382.990255
Fear,JTO,22.476
Fear,JUP,-2824.07741
Fear,KAITO,-14900.55358
Fear,LAYER,13189.0
Fear,LDO,36.630072
Fear,LINK,3813.926135
Fear,LTC,3164.3138000000004
Fear,MAVIA,3204.974292
Fear,ME,13858.127604000001
Fear,MELANIA,196849.124287
Fear,MEME,-115.671181
Fear,MKR,1333.4571
Fear,MOODENG,8.497446
Fear,MOVE,2656.591555
Fear,OM,106.321217
Fear,ONDO,6759.386169
Fear,OP,5562.348608
Fear,PAXG,-240.48984000000002
Fear,PENDLE,4171.514997
Fear,PENGU,-2343.760791
Fear,POPCAT,1887.9196800000002
Fear,PROMPT,488.15346999999997
Fear,PURR,4186.331753
Fear,PURR/USDC,44.355076999999994
Fear,PYTH,0.0
Fear,RENDER,2031.170722
Fear,REQ,4.947336
Fear,REZ,163.08528
Fear,RSR,160.127816
Fear,RUNE,2.5769399999999996
Fear,S,2832.0791200000003
Fear,SAND,414.817137
Fear,SEI,8356.0
Fear,SOL,741594.285928
Fear,SPX,2057.209938
Fear,SUI,26130.152572
Fear,TAO,12235.525408
Fear,TIA,8136.9878499999995
Fear,TNSR,87.77524299999999
Fear,TRUMP,18920.459616
Fear,UNI,28.81502
Fear,USUAL,45893.103342
Fear,VINE,882.309695
Fear,VIRTUAL,3729.922474
Fear,VVV,1001.414371
Fear,W,54.734555
Fear,WCT,1531.72532
Fear,WIF,-3326.846599
Fear,WLD,1372.981827
Fear,XRP,14977.157366
Fear,YGG,986.0408600000001
Fear,ZEREBRO,800.459267
Fear,ZRO,3430.864626
Fear,kBONK,742.104985
Fear,kPEPE,4844.856091
Fear,kSHIB,13.644264
Greed,@1,1.078679000000001
Greed,@10,0.0
Greed,@103,4.494691
Greed,@107,724342.30586
Greed,@109,5410.846174
Greed,@112,14.334509
Greed,@113,1.430513
Greed,@114,1.309077
Greed,@116,1.473232
Greed,@117,4.631689
Greed,@12,0.0
Greed,@125,-104.37551400000001
Greed,@142,1115.493744
Greed,@147,-350.632694
Greed,@151,11628.555251
Greed,@153,34.63999
Greed,@16,0.0
Greed,@17,0.0
Greed,@18,0.0
Greed,@19,0.0
Greed,@2,0.0
Greed,@20,0.0
Greed,@21,0.0
Greed,@23,0.0
Greed,@24,0.0
Greed,@25,0.0
Greed,@26,0.0
Greed,@29,0.0
Greed,@31,0.0
Greed,@32,0.0
Greed,@33,0.0
Greed,@34,0.0
Greed,@35,0.0
Greed,@36,0.0
Greed,@37,10.17704
Greed,@4,0.0
Greed,@41,0.0
Greed,@44,0.0
Greed,@47,0.0
Greed,@51,-37.27303
Greed,@53,35.320328
Greed,@59,1752.19606
Greed,@6,0.0
Greed,@63,-20.663546
Greed,@7,0.0
Greed,@78,0.0
Greed,@8,0.0
Greed,@83,-42.843649
Greed,@85,7537.895069
Greed,@93,15.954796
Greed,AAVE,478.609638
Greed,ADA,18.95475
Greed,AI,59.194616
Greed,AI16Z,3114.182332
Greed,AIXBT,40092.549106
Greed,ALGO,-0.2484
Greed,ALT,1797.45392
Greed,ANIME,120.29581200000001
Greed,APE,3618.60491
Greed,APT,0.0
Greed,ARB,511.345086
Greed,ARK,-26.09575
Greed,ATOM,0.0
Greed,AVAX,12096.549815
Greed,BADGER,1439.423595
Greed,BANANA,-81.48518800000001
Greed,BERA,83243.565498
Greed,BIGTIME,272.01318000000003
Greed,BIO,1278.639104
Greed,BLAST,135.989017
Greed,BLUR,3057.18593
Greed,BNB,6.476289999999996
Greed,BOME,0.0
Greed,BRETT,5.6384
Greed,BTC,115475.191549
Greed,CAKE,0.0
Greed,CANTO,-188.49813000000003
Greed,CHILLGUY,17.544985999999998
Greed,CRV,-1199.624026
Greed,CYBER,0.0
Greed,DOGE,3027.3036439999996
Greed,DOT,99.633834
Greed,DYDX,1.644956
Greed,DYM,373.07007
Greed,EIGEN,8947.754034
Greed,ENA,33865.081319
Greed,ENS,-7.121359999999999
Greed,ETC,0.0
Greed,ETH,351036.01291399996
Greed,ETHFI,30454.400091
Greed,FARTCOIN,41367.714132
Greed,FET,65.5095
Greed,FIL,-35.27859
Greed,FTM,-29.215368
Greed,FTT,2282.892387
Greed,FXS,-150.792898
Greed,GALA,6.486417
Greed,GMT,4.930490000000001
Greed,GMX,0.0
Greed,GOAT,110.86860000000001
Greed,GRASS,81.550604
Greed,GRIFFAIN,1928.745973
